Time,T1,T2,T3,T4,T5,T6,T7,T8,Disp,Speed
0,3637,3374,3756,3716,2809,3493,2792,2803,7772,0
1,3631,3363,3750,3704,2809,3499,2799,2774,7779,0
2,3626,3363,3733,3693,2809,3499,2799,2757,7774,0
3,3626,3357,3716,3681,2809,3493,2799,2803,7774,0
4,3614,3357,3704,3670,2809,3499,2799,2757,7777,0
5,3614,3363,3704,3670,2809,3503,2803,2803,7773,0
6,3614,3357,3687,3660,2809,3503,2809,2799,7784,0
7,3614,3357,3675,3654,2809,3503,2809,2820,7786,0
8,3603,3363,3664,3637,2809,3503,2809,2803,7784,0
9,3599,3351,3654,3631,2809,3503,2809,2820,7798,0
10,3599,3346,3643,3626,2809,3503,2809,2803,7786,0
11,3593,3340,3631,3610,2809,3503,2809,2820,7798,0
12,3593,3334,3620,3603,2809,3499,2809,2849,7785,0
13,3593,3334,3614,3603,2809,3499,2815,2803,7799,0
14,3581,3328,3610,3587,2809,3503,2815,2803,7801,0
15,3581,3328,3599,3581,2803,3499,2815,2815,7802,0
16,3568,3328,3587,3568,2803,3499,2809,2780,7804,0
17,3562,3321,3581,3562,2809,3499,2815,2809,7804,0
18,3555,3321,3562,3551,2803,3493,2809,2820,7808,0
19,3562,3328,3562,3555,2809,3499,2815,2853,7821,0
20,3555,3328,3555,3545,2809,3493,2815,2836,7816,0
21,3555,3328,3551,3539,2809,3493,2815,2809,7813,0
22,3551,3321,3545,3532,2809,3480,2815,2870,7821,0
23,3551,3328,3545,3532,2815,3486,2815,2870,7835,0
24,3545,3321,3532,3528,2809,3486,2815,2843,7819,0
25,3545,3321,3528,3516,2809,3480,2815,2836,7837,0
26,3539,3321,3516,3509,2815,3480,2815,2826,7833,0
27,3532,3321,3516,3503,2809,3474,2815,2826,7835,0
28,3532,3315,3509,3499,2809,3474,2815,2832,7837,0
29,3528,3302,3499,3493,2809,3480,2820,2843,7844,0
30,3516,3298,3486,3480,2803,3474,2815,2803,7829,0
31,3516,3286,3480,3474,2803,3474,2815,2786,7845,0
32,3509,3286,3474,3468,2803,3474,2820,2786,7842,0
33,3509,3292,3468,3468,2803,3468,2820,2836,7852,0
34,3503,3286,3463,3463,2809,3468,2820,2780,7846,0
35,3503,3286,3457,3457,2803,3457,2820,2815,7852,0
36,3499,3292,3457,3457,2809,3457,2820,2832,7855,0
37,3503,3292,3457,3457,2815,3457,2826,2836,7855,0
38,3503,3292,3451,3451,2815,3463,2826,2820,7871,0
39,3499,3286,3445,3445,2815,3463,2826,2843,7863,0
40,3499,3286,3445,3445,2809,3457,2832,2820,7867,0
41,3493,3286,3440,3440,2815,3457,2832,2832,7874,0
42,3493,3286,3434,3434,2815,3451,2826,2849,7873,0
43,3480,3275,3422,3428,2809,3445,2820,2792,7871,0
44,3474,3269,3422,3422,2809,3445,2826,2809,7880,0
45,3474,3263,3415,3422,2809,3445,2826,2815,7877,0
46,3474,3263,3409,3415,2809,3440,2826,2863,7886,0
47,3474,3263,3409,3409,2809,3440,2826,2870,7885,0
48,3468,3263,3403,3409,2809,3428,2826,2893,7891,0
49,3468,3275,3409,3415,2815,3428,2826,2899,7890,0
50,3468,3275,3403,3409,2815,3428,2826,2826,7895,0
51,3463,3275,3399,3403,2815,3422,2826,2853,7880,0
52,3457,3275,3399,3399,2809,3422,2826,2809,7895,0
53,3457,3263,3392,3392,2809,3422,2826,2836,7889,0
54,3451,3256,3374,3386,2809,3415,2820,2786,7905,0
55,3445,3256,3374,3374,2803,3409,2820,2809,7907,0
56,3451,3256,3374,3380,2815,3409,2826,2843,7904,0
57,3440,3250,3363,3374,2809,3403,2820,2836,7906,0
58,3445,3256,3363,3369,2809,3409,2832,2826,7914,0
59,3440,3250,3363,3369,2809,3399,2820,2815,7915,0
60,3440,3256,3363,3374,2815,3409,2832,2836,7915,0
61,3428,3263,3363,3363,2809,3399,2820,2853,7911,0
62,3434,3246,3351,3357,2809,3392,2820,2792,7919,0
63,3422,3246,3346,3363,2809,3392,2826,2832,7929,0
64,3422,3246,3346,3351,2809,3392,2826,2803,7923,0
65,3422,3246,3346,3351,2809,3392,2826,2826,7915,0
66,3415,3246,3340,3351,2809,3392,2826,2792,7929,0
67,3415,3233,3340,3346,2809,3386,2826,2786,7929,0
68,3409,3233,3334,3340,2809,3386,2826,2780,7929,0
69,3409,3233,3334,3340,2815,3386,2832,2786,7935,0
70,3403,3227,3328,3334,2815,3374,2832,2803,7949,0
71,3399,3221,3321,3328,2809,3369,2832,2774,7929,0
72,3403,3221,3321,3340,2815,3374,2832,2820,7938,0
73,3399,3221,3321,3328,2815,3374,2832,2792,7946,0
74,3392,3221,3309,3321,2809,3363,2826,2799,7954,0
75,3392,3215,3309,3321,2809,3363,2832,2780,7951,0
76,3386,3215,3302,3321,2809,3363,2832,2786,7935,0
77,3386,3215,3302,3315,2815,3363,2836,2803,7956,0
78,3386,3215,3302,3315,2815,3363,2836,2799,7957,0
79,3380,3215,3302,3315,2815,3363,2836,2815,7959,0
80,3386,3221,3298,3315,2815,3357,2836,2820,7962,0
81,3380,3221,3298,3309,2815,3357,2836,2809,7961,0
82,3380,3227,3298,3309,2809,3351,2836,2774,7959,0
83,3369,3233,3298,3309,2809,3351,2836,2820,7970,0
84,3369,3227,3298,3302,2815,3346,2832,2863,7965,0
85,3369,3221,3298,3302,2815,3346,2836,2832,7976,0
86,3369,3227,3298,3302,2815,3340,2836,2832,7970,0
87,3369,3221,3292,3302,2815,3334,2832,2826,7974,0
88,3363,3221,3292,3302,2815,3328,2832,2820,7967,0
89,3357,3227,3292,3298,2815,3334,2832,2820,7972,0
90,3363,3227,3292,3298,2815,3321,2826,2815,7975,0
91,3357,3227,3286,3298,2815,3321,2832,2832,7974,0
92,3357,3227,3292,3298,2815,3309,2826,2774,7981,0
93,3357,3227,3286,3292,2815,3309,2826,2809,7966,0
94,3351,3221,3286,3292,2820,3309,2826,2799,7987,0
95,3351,3221,3292,3292,2815,3298,2820,2799,7990,0
