Time,T1,T2,T3,T4,T5,T6,T7,T8,Disp,Speed
590,3139,3093,4149,3263,2702,3215,2836,2746,7993,2500
591,3133,3093,4143,3269,2698,3215,2836,2740,7984,2500
592,3139,3110,4164,3286,2702,3221,2843,2751,7982,2500
593,3146,3104,4170,3292,2698,3215,2836,2746,7971,2500
594,3150,3110,4187,3302,2702,3215,2843,2746,7982,2500
595,3150,3110,4187,3309,2702,3221,2836,2751,7973,2500
596,3150,3110,4210,3315,2702,3221,2836,2746,7972,2500
597,3150,3116,4222,3328,2698,3221,2843,2746,7971,2500
598,3156,3121,4222,3334,2698,3227,2836,2746,7970,2500
599,3162,3121,4239,3340,2698,3227,2836,2746,7967,2500
600,3162,3121,4249,3346,2698,3227,2843,2740,7954,2500
601,3162,3121,4262,3351,2698,3233,2836,2746,7960,2500
602,3169,3121,4262,3357,2698,3233,2836,2740,7959,2500
603,3181,3133,4287,3369,2702,3240,2843,2751,7951,2500
604,3181,3133,4298,3374,2702,3240,2843,2751,7953,2500
605,3187,3139,4293,3380,2702,3240,2843,2751,7949,2500
606,3187,3146,4310,3392,2698,3240,2843,2751,7953,2500
607,3187,3139,4316,3399,2702,3246,2843,2751,7945,2500
608,3192,3146,4327,3399,2698,3246,2843,2746,7945,2500
609,3204,3150,4339,3409,2702,3256,2843,2757,7943,2500
610,3204,3156,4333,3415,2702,3250,2849,2757,7943,2500
611,3210,3162,4346,3422,2702,3256,2849,2751,7935,2500
612,3210,3156,4350,3428,2702,3256,2843,2763,7937,2500
613,3215,3156,4362,3434,2702,3263,2849,2763,7936,2500
614,3215,3162,4369,3440,2702,3256,2843,2751,7935,2500
615,3221,3162,4362,3440,2702,3263,2843,2751,7934,2500
616,3227,3169,4381,3451,2698,3269,2849,2751,7926,2500
617,3227,3175,4387,3463,2698,3275,2849,2757,7929,2500
618,3233,3175,4387,3463,2709,3275,2849,2751,7927,2500
619,3240,3175,4398,3468,2698,3275,2853,2751,7927,2500
620,3233,3181,4410,3468,2698,3275,2849,2751,7927,2500
621,3246,3181,4398,3474,2698,3279,2849,2751,7920,2500
622,3246,3175,4415,3480,2698,3279,2853,2757,7922,2500
623,3240,3175,4415,3486,2692,3286,2843,2757,7920,2500
624,3246,3169,4410,3486,2692,3292,2843,2751,7906,2500
625,3250,3181,4427,3499,2698,3292,2853,2757,7909,2500
626,3256,3175,4427,3503,2698,3298,2849,2757,7915,2500
627,3263,3181,4433,3503,2698,3298,2849,2757,7909,2500
628,3263,3181,4433,3509,2698,3298,2849,2757,7910,2500
629,3263,3181,4440,3509,2698,3302,2849,2757,7896,2500
630,3269,3181,4433,3516,2698,3302,2849,2751,7903,2500
631,3279,3192,4450,3522,2698,3309,2853,2757,7909,2500
632,3279,3192,4450,3528,2698,3315,2853,2757,7898,2500
633,3286,3192,4450,3528,2698,3315,2853,2763,7901,2500
634,3286,3198,4463,3532,2698,3321,2853,2763,7897,2500
635,3298,3198,4469,3539,2698,3321,2853,2757,7897,2500
636,3298,3192,4463,3539,2698,3321,2853,2757,7896,2500
637,3298,3198,4469,3539,2698,3321,2853,2757,7886,2500
638,3302,3198,4475,3551,2698,3328,2853,2757,7891,2500
639,3309,3210,4475,3551,2702,3334,2859,2763,7879,2500
640,3315,3204,4479,3555,2702,3340,2859,2763,7883,2500
641,3315,3210,4492,3562,2702,3340,2859,2769,7876,2500
642,3315,3215,4479,3562,2698,3340,2853,2763,7877,2500
643,3321,3210,4498,3562,2702,3346,2859,2763,7882,2500
644,3315,3204,4498,3562,2698,3340,2853,2757,7886,2500
645,3321,3204,4498,3562,2698,3346,2849,2757,7877,2500
646,3328,3210,4498,3574,2702,3351,2859,2763,7884,2500
647,3328,3210,4498,3574,2698,3357,2859,2769,7874,2500
648,3328,3210,4504,3568,2698,3357,2853,2763,7866,2500
649,3328,3210,4509,3574,2698,3357,2853,2757,7866,2500
650,3328,3204,4498,3574,2692,3357,2853,2757,7874,2500
651,3328,3221,4515,3581,2692,3357,2849,2757,7864,2500
652,3340,3210,4515,3587,2698,3369,2853,2769,7869,2500
653,3340,3215,4509,3587,2698,3369,2859,2757,7870,2500
654,3346,3221,4532,3593,2702,3380,2859,2774,7869,2500
655,3351,3221,4515,3593,2698,3369,2853,2757,7867,2500
656,3351,3215,4521,3593,2698,3369,2859,2763,7856,2500
657,3351,3215,4525,3599,2698,3374,2853,2763,7863,2500
658,3357,3215,4525,3593,2698,3380,2853,2757,7859,2500
